Radxa_NX5_Pinout(Version V1.1),,,
Module_Signal_Name,Pin,Pin,Module_Signal_Name
GND,1,2,GND
MIPI_CSI0_RX_D0N,3,4,MIPI_CSI0_RX_D2N
MIPI_CSI0_RX_D0P,5,6,MIPI_CSI0_RX_D2P
GND,7,8,GND
MIPI_CSI0_RX_CLK0N,9,10,MIPI_CSI0_RX_CLK1N
MIPI_CSI0_RX_CLK0P,11,12,MIPI_CSI0_RX_CLK1P
GND,13,14,GND
MIPI_CSI0_RX_D1N,15,16,MIPI_CSI0_RX_D3N
MIPI_CSI0_RX_D1P,17,18,MIPI_CSI0_RX_D3P
GND,19,20,GND
NC,21,22,MIPI_DPHY0_RX_D0N
NC,23,24,MIPI_DPHY0_RX_D0P
GND,25,26,GND
NC,27,28,MIPI_DPHY0_RX_CLKN
NC,29,30,MIPI_DPHY0_RX_CLKP
GND,31,32,GND
NC,33,34,MIPI_DPHY0_RX_D1N
NC,35,36,MIPI_DPHY0_RX_D1P
GND,37,38,GND
TYPEC0_SSTX1N,39,40,MIPI_DPHY1_RX_D2N
TYPEC0_SSTX1P,41,42,MIPI_DPHY1_RX_D2P
GND,43,44,GND
TYPEC0_SSRX1N,45,46,MIPI_DPHY1_RX_D0N
TYPEC0_SSRX1P,47,48,MIPI_DPHY1_RX_D0P
GND,49,50,GND
NC,51,52,MIPI_DPHY1_RX_CLKN
NC,53,54,MIPI_DPHY1_RX_CLKP
GND,55,56,GND
NC,57,58,MIPI_DPHY1_RX_D1N
NC,59,60,MIPI_DPHY1_RX_D1P
GND,61,62,GND
HDMI0_TX2N,63,64,MIPI_DPHY1_RX_D3N
HDMI0_TX2P,65,66,MIPI_DPHY1_RX_D3P
GND,67,68,GND
HDMI0_TX1N,69,70,MIPI_DPHY0_TX_D0N
HDMI0_TX1P,71,72,MIPI_DPHY0_TX_D0P
GND,73,74,GND
HDMI0_TX0N,75,76,MIPI_DPHY0_TX_CLKN
HDMI0_TX0P,77,78,MIPI_DPHY0_TX_CLKP
GND,79,80,GND
HDMI0_TX3N,81,82,MIPI_DPHY0_TX_D1N
HDMI0_TX3P,83,84,MIPI_DPHY0_TX_D1P
GND,85,86,GND
VBUSDET,87,88,SDMMC_PWREN
MIPI_CAM1_RST_L,89,90,TYPEC0_SBU2
MIPI_CAM2_RST_L,91,92,TYPEC0_SBU1
MIPI_CAM2_PWREN_H,93,94,HDMI_TX0_CEC_M0
TP_RST_L,95,96,HDMI_TX0_HPD_M0
TP_INT_L,97,98,HDMI-SDA
I2C5_SCL_M3_CAM,99,100,HDMI-SCL
I2C5_SDA_M3_CAM,101,102,GND
I2C8_SCL_M2_CAM,103,104,I2C7_SDA_M0_CODEC
I2C8_SDA_M2_CAM,105,106,PDM0_SDI2_M0
GND,107,108,I2C7_SCL_M0_CODEC
USB20_HOST0_DM,109,110,GSENSOR_INT_L
USB20_HOST0_DP,111,112,PDM0_SDI0
GND,113,114,MIPI_CAM1_PDN_L
TYPEC0_OTG_DM,115,116,I2C6_SCL_M3
TYPEC0_OTG_DP,117,118,HDMI0_TX_ON_H
GND,119,120,MIPI_CAM2_PDN_L
USB20_HOST1_DM,121,122,NC
USB20_HOST1_DP,123,124,MIPI_CAM1_PWREN_H
GND,125,126,LCD_RESET_L
PHONE_CTL,127,128,BQ_OTG_EN_H
GND,129,130,RK803_EN1_Flood
PCIE20_0_RXN,131,132,GND
PCIE20_0_RXP,133,134,PCIE20_0_TXN
GND,135,136,PCIE20_0_TXP
NC,137,138,GND
NC,139,140,NC
GND,141,142,NC
BT_REG_ON_H,143,144,GND
CHRG_OK_H,145,146,GND
GND,147,148,NC
NC,149,150,NC
NC,151,152,GND
GND,153,154,NC
NC,155,156,NC
NC,157,158,GND
GND,159,160,PCIE20_0_REFCLKN
TYPEC0_SSRX2N,161,162,PCIE20_0_REFCLKP
TYPEC0_SSRX2P,163,164,GND
GND,165,166,TYPEC0_SSTX2N
USB30_2_SSRXN,167,168,TYPEC0_SSTX2P
USB30_2_SSRXP,169,170,GND
GND,171,172,USB30_2_SSTXN
PCIE20_2_REFCLKN,173,174,USB30_2_SSTXP
PCIE20_2_REFCLKP,175,176,GND
GND,177,178,I2C6_SDA_M3
